,Name,Current Market Price(Rs.),Price to Earning,Market Capitalization(Rs.Cr.),Dinidend Yield(%),Net Profit Latest Quarter(Rs.Cr.),Quarterly Profit Growth(%),Sales Latest Quarter(Rs.Cr.),Quarterly Sales Growth(%),Return on Capital Employed(%),Historical Price to Earning(10 Years)
0,Hindustan Zinc,592.85,21.46,250498.04,4.89,3879.0,45.84,10922.0,27.65,60.73,14.05
1,Life Insurance,862.4,10.29,545467.8,1.39,12907.9,17.46,235954.23,15.81,53.13,13.65
2,Saatvik Green,419.3,13.6,5329.51,0.0,98.72,144.05,1257.02,142.58,52.33,13.96
3,Coal India,408.95,8.44,252024.77,6.48,7165.98,-15.85,34924.19,-5.25,48.04,7.32
4,Ganesh Housing,701.45,13.93,5849.19,0.71,53.74,-66.59,91.3,-64.48,44.02,12.0
5,Ashoka Buildcon,151.61,4.07,4256.04,0.0,2111.41,-71.23,1827.33,-23.48,39.7,9.1
6,Sharda Motor,942.3,16.73,5409.53,1.72,80.13,11.7,881.55,27.76,34.6,14.73
7,Gokul Agro,168.65,16.63,4976.64,0.0,77.7,7.17,6314.25,26.58,34.2,13.45
8,Reliance Infra.,104.11,0.85,4254.26,0.0,317.42,104.49,4296.52,-14.63,34.01,3.07
9,Hind.Aeronautics,4212.4,31.67,281714.78,0.95,1866.66,29.65,7698.8,10.66,33.88,13.91
10,IIFL Capital,325.15,17.62,10124.11,0.92,187.85,-5.21,586.28,0.63,33.27,9.19
11,Banco Products,661.9,19.81,9467.64,1.66,85.83,145.39,789.36,23.52,32.36,12.34
12,Authum Invest,486.35,11.35,41302.08,0.04,168.02,-69.18,446.21,-27.76,30.85,7.66
13,NMDC,79.43,10.12,69833.41,4.15,1757.29,-6.67,7610.79,15.88,29.59,7.8
14,Bharat Coking,35.25,20.81,16415.93,0.0,-22.88,-105.38,2782.8,-24.55,28.92,0.14
15,Emmvee Photovol.,210.29,27.3,14559.32,0.0,263.64,165.77,1152.25,118.11,28.01,2.96
16,Chambal Fert.,453.65,9.49,18175.59,2.2,586.39,9.73,5898.26,19.93,26.76,11.23
17,Petronet LNG,290.4,11.98,43560.0,3.44,869.61,-3.56,11163.83,-8.69,25.39,12.96
18,Vedanta,673.65,23.97,263423.29,6.46,7807.0,95.59,23369.0,36.96,25.26,8.62
19,Hind.Construct.,19.83,31.26,5194.41,0.0,8.07,91.23,925.32,-8.09,25.15,7.73
20,Goldiam Intl.,393.35,28.37,4441.62,0.76,68.39,37.52,319.71,14.33,24.59,13.32
21,GHCL,502.05,9.1,4615.55,2.39,106.01,-37.06,756.54,-2.85,24.19,6.87
22,Godawari Power,258.65,23.4,17359.76,0.39,143.45,-1.06,1139.45,-12.19,23.25,6.38
23,Mahanagar Gas,1107.1,11.31,10935.69,2.71,201.97,-10.38,2058.28,17.11,22.89,14.55
24,Pearl Global Ind,1586.1,28.08,7319.22,0.73,51.52,-4.76,1170.18,14.44,22.11,12.6
